"","awards","person","detail","result","year","url","X","Awardee","Gender"
"8936","Best Song","Tin Pan Alley "," Alfred Newman","winner",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",54,"Song",""
"8937","Best Song","""Down Argentine Way"" from Down Argentine Way "," Music by Harry Warren; Lyrics by Mack Gordon","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",54,"Song",""
"8938","Best Song","""I'd Know You Anywhere"" from You'll Find Out "," Music by Jimmy McHugh; Lyrics by Johnny Mercer","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",54,"Song",""
"8939","Best Song","""It's a Blue World"" from Music in My Heart "," Music and Lyrics by Chet Forrest and Bob Wright","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",54,"Song",""
"8940","Best Song","""Love of My Life"" from Second Chorus "," Music by Artie Shaw; Lyrics by Johnny Mercer","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",54,"Song",""
"8941","Best Song","""Only Forever"" from Rhythm on the River "," Music by James V. Monaco; Lyrics by Johnny Burke","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",54,"Song",""
"8942","Best Song","""Our Love Affair"" from Strike Up the Band "," Music and Lyrics by Roger Edens and Arthur Freed","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",54,"Song",""
"8943","Best Song","""Waltzing in the Clouds"" from Spring Parade "," Music by Robert Stolz; Lyrics by Gus Kahn","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",54,"Song",""
"8944","Best Song","""Who Am I?"" from Hit Parade of 1941 "," Music by Jule Styne; Lyrics by Walter Bullock","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",54,"Song",""
"8945","Best Sound Recording","""When You Wish upon a Star"" from Pinocchio "," Music by Leigh Harline; Lyrics by Ned Washington","winner",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",80,"Film",""
"8946","Best Sound Recording","Too Many Husbands "," John Livadary","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",80,"Film",""
"8947","Best Sound Recording","The Howards of Virginia "," Jack Whitney","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",80,"Film",""
"8948","Best Sound Recording","Captain Caution "," Elmer A. Raguse","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",80,"Film",""
"8949","Best Sound Recording","North West Mounted Police "," Loren L. Ryder","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",80,"Film",""
"8950","Best Sound Recording","Behind the News "," Charles L. Lootens","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",80,"Film",""
"8951","Best Sound Recording","Kitty Foyle "," John Aalberg","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",80,"Film",""
"8952","Best Sound Recording","Our Town "," Thomas T. Moulton","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",80,"Film",""
"8953","Best Sound Recording","The Grapes of Wrath "," E. H. Hansen","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",80,"Film",""
"8954","Best Sound Recording","Spring Parade "," Bernard B. Brown","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",80,"Film",""
"8955","Best Sound Recording","The Sea Hawk "," Nathan Levinson","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",80,"Film",""
"8956","Best Special Effects","North West Mounted Police "," Anne Bauchens","winner",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",79,"Film",""
"8957","Best Special Effects","Rebecca "," Jack Cosgrove and Arthur Johns","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",79,"Film",""
"8958","Best Special Effects","Foreign Correspondent "," Paul Eagler and Thomas T. Moulton","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",79,"Film",""
"8959","Best Special Effects","Dr. Cyclops "," Farciot Edouart, Gordon Jennings, and Loren L. Ryder","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",79,"Film",""
"8960","Best Special Effects","Typhoon "," Farciot Edouart, Gordon Jennings, and Loren L. Ryder","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",79,"Film",""
"8961","Best Special Effects","The Boys From Syracuse "," John P. Fulton, Bernard B. Brown, and Joe Lapis","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",79,"Film",""
"8962","Best Special Effects","The Invisible Man Returns "," John P. Fulton, Bernard B. Brown, and William Hedgcock","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",79,"Film",""
"8963","Best Special Effects","Boom Town "," A. Arnold Gillespie and Douglas Shearer","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",79,"Film",""
"8964","Best Special Effects","The Sea Hawk "," Byron Haskin and Nathan Levinson","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",79,"Film",""
"8965","Best Special Effects","The Long Voyage Home "," R. T. Layton, Ray Binger, and Thomas T. Moulton","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",79,"Film",""
"8966","Best Special Effects","Women in War "," Howard J. Lydecker, William Bradford, Ellis J. Thackery, and Herbert Norsch","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",79,"Film",""
"8967","Best Special Effects","One Million B.C. "," Roy Seawright and Elmer A. Raguse","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",79,"Film",""
"8968","Best Special Effects","The Blue Bird "," Fred Sersen and Edmund H. Hansen","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",79,"Film",""
"8969","Best Special Effects","Swiss Family Robinson "," Vernon L. Walker and John O. Aalberg","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",79,"Film",""
"8970","Best Supporting Actor","Ginger Rogers "," Kitty Foyle as Kitty Foyle","winner",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",22,"Person","Male"
"8971","Best Supporting Actor","Albert Bassermann "," Foreign Correspondent as Van Meer","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",22,"Person","Male"
"8972","Best Supporting Actor","William Gargan "," They Knew What They Wanted as Joe","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",22,"Person","Male"
"8973","Best Supporting Actor","Jack Oakie "," The Great Dictator as Benzino Napaloni","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",22,"Person","Male"
"8974","Best Supporting Actor","James Stephenson "," The Letter as Howard Joyce","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",22,"Person","Male"
"8975","Best Supporting Actress","Walter Brennan "," The Westerner as Judge Roy Bean","winner",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",23,"Person","Female"
"8976","Best Supporting Actress","Judith Anderson "," Rebecca as Mrs Danvers","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",23,"Person","Female"
"8977","Best Supporting Actress","Ruth Hussey "," The Philadelphia Story as Elizabeth Imbrie","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",23,"Person","Female"
"8978","Best Supporting Actress","Barbara O'Neil "," All This, and Heaven Too as Francoise ""Fanny"" Sebastiani de-Praslin","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",23,"Person","Female"
"8979","Best Supporting Actress","Marjorie Rambeau "," Primrose Path as Mamie Adams","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",23,"Person","Female"
"8980","Outstanding Production","Rebecca",NA,"winner",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",104,"Film",""
"8981","Outstanding Production","All This, and Heaven Too "," Jack L. Warner, Hal B. Wallis, and David Lewis for Warner Bros.","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",104,"Film",""
"8982","Outstanding Production","Foreign Correspondent "," Walter Wanger for Walter Wanger Productions and United Artists","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",104,"Film",""
"8983","Outstanding Production","The Grapes of Wrath "," Darryl F. Zanuck and Nunnally Johnson for 20th Century Fox","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",104,"Film",""
"8984","Outstanding Production","The Great Dictator "," Charlie Chaplin for Charlie Chaplin Productions and United Artists","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",104,"Film",""
"8985","Outstanding Production","Kitty Foyle "," David Hempstead for RKO Radio","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",104,"Film",""
"8986","Outstanding Production","The Letter "," Hal B. Wallis for Warner Bros.","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",104,"Film",""
"8987","Outstanding Production","The Long Voyage Home "," John Ford for Argosy Films, Walter Wanger Productions, and United Artists","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",104,"Film",""
"8988","Outstanding Production","Our Town "," Sol Lesser for Sol Lesser Productions and United Artists","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",104,"Film",""
"8989","Outstanding Production","The Philadelphia Story "," Joseph L. Mankiewicz for Metro-Goldwyn-Mayer","nominated",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",104,"Film",""
"8990",NA,"The Thief of Bagdad "," Lawrence W. Butler and Jack Whitney","winner",1941,"https://en.wikipedia.org/wiki/13th_Academy_Awards",NA,NA,NA
"8991","Best Actor","Victor Fleming "," Gone With the Wind","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",1,"Person","Male"
"8992","Best Actor","Clark Gable "," Gone With the Wind as Rhett Butler","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",1,"Person","Male"
"8993","Best Actor","Laurence Olivier "," Wuthering Heights as Heathcliff","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",1,"Person","Male"
"8994","Best Actor","Mickey Rooney "," Babes in Arms as Mickey Moran","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",1,"Person","Male"
"8995","Best Actor","James Stewart "," Mr. Smith Goes to Washington as Jefferson ""Jeff"" Smith","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",1,"Person","Male"
"8996","Best Actress","Robert Donat "," Goodbye, Mr. Chips as Mr Chips","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",2,"Person","Female"
"8997","Best Actress","Bette Davis "," Dark Victory as Judith Traherne","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",2,"Person","Female"
"8998","Best Actress","Irene Dunne "," Love Affair as Terry McKay","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",2,"Person","Female"
"8999","Best Actress","Greta Garbo "," Ninotchka as Nina Ivanovna 'Ninotchka' Yakushova","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",2,"Person","Female"
"9000","Best Actress","Greer Garson "," Goodbye, Mr. Chips as Katherine","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",2,"Person","Female"
"9001","Best Animated Short Film","Sons of Liberty "," Warner Bros.","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",5,"Film",""
"9002","Best Animated Short Film","Detouring America "," Warner Bros.","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",5,"Film",""
"9003","Best Animated Short Film","Peace on Earth "," MGM","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",5,"Film",""
"9004","Best Animated Short Film","The Pointer "," Walt Disney Productions and RKO Radio","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",5,"Film",""
"9005","Best Art Direction","When Tomorrow Comes "," Bernard B. Brown","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",29,"Film",""
"9006","Best Art Direction","Mr. Smith Goes to Washington ","Lionel Banks","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",29,"Film",""
"9007","Best Art Direction","Wuthering Heights "," James Basevi","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",29,"Film",""
"9008","Best Art Direction","The Rains Came "," William S. Darling and George Dudley","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",29,"Film",""
"9009","Best Art Direction","Beau Geste "," Hans Dreier and Robert Odell","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",29,"Film",""
"9010","Best Art Direction","The Wizard of Oz "," Cedric Gibbons and William A. Horning","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",29,"Film",""
"9011","Best Art Direction","The Private Lives of Elizabeth and Essex "," Anton Grot","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",29,"Film",""
"9012","Best Art Direction","Captain Fury "," Charles D. Hall","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",29,"Film",""
"9013","Best Art Direction","Man of Conquest "," John Victor Mackay","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",29,"Film",""
"9014","Best Art Direction","First Love "," Jack Otterson and Martin Obzina","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",29,"Film",""
"9015","Best Art Direction","Love Affair "," Van Nest Polglase and Alfred Herman","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",29,"Film",""
"9016","Best Art Direction","Stagecoach "," Alexander Toluboff","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",29,"Film",""
"9017","Best Cinematography, Black and White","Gone With the Wind "," Lyle Wheeler","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",72,"Film",""
"9018","Best Cinematography, Black and White","Gunga Din "," Joseph H. August","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",72,"Film",""
"9019","Best Cinematography, Black and White","Lady of the Tropics "," Norbert Brodine","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",72,"Film",""
"9020","Best Cinematography, Black and White","Juarez "," Tony Gaudio","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",72,"Film",""
"9021","Best Cinematography, Black and White","Stagecoach "," Bert Glennon","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",72,"Film",""
"9022","Best Cinematography, Black and White","The Rains Came "," Arthur Charles Miller","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",72,"Film",""
"9023","Best Cinematography, Black and White","The Great Victor Herbert "," Victor Milner","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",72,"Film",""
"9024","Best Cinematography, Black and White","Intermezzo "," Gregg Toland","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",72,"Film",""
"9025","Best Cinematography, Black and White","First Love "," Joseph Valentine","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",72,"Film",""
"9026","Best Cinematography, Black and White","Of Mice and Men "," George J. Folsey","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",72,"Film",""
"9027","Best Cinematography, Black and White","Only Angels Have Wings "," Joseph Walker","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",72,"Film",""
"9028","Best Cinematography, Color","Wuthering Heights "," Gregg Toland","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",73,"Film",""
"9029","Best Cinematography, Color","The Four Feathers "," Georges Périnal and Osmond Borradaile","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",73,"Film",""
"9030","Best Cinematography, Color","The Private Lives of Elizabeth and Essex "," Sol Polito and W. Howard Greene","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",73,"Film",""
"9031","Best Cinematography, Color","Drums Along the Mohawk "," Ray Rennahan and Bert Glennon","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",73,"Film",""
"9032","Best Cinematography, Color","The Wizard of Oz "," Hal Rosson","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",73,"Film",""
"9033","Best Cinematography, Color","The Mikado "," William V. Skall and Bernard Knowles","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",73,"Film",""
"9034","Best Director",""," David O. Selznick for Selznick International and Metro-Goldwyn-Mayer","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",8,"Person",""
"9035","Best Director","Frank Capra "," Mr. Smith Goes to Washington","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",8,"Person",""
"9036","Best Director","John Ford "," Stagecoach","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",8,"Person",""
"9037","Best Director","Sam Wood "," Goodbye, Mr. Chips","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",8,"Person",""
"9038","Best Director","William Wyler "," Wuthering Heights","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",8,"Person",""
"9039","Best Film Editing","Gone With the Wind "," Ernest Haller and Ray Rennahan","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",11,"Film",""
"9040","Best Film Editing","Goodbye, Mr. Chips "," Charles Frend","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",11,"Film",""
"9041","Best Film Editing","Mr. Smith Goes to Washington "," Gene Havlick and Al Clark","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",11,"Film",""
"9042","Best Film Editing","Stagecoach "," Otho Lovering and Dorothy Spencer","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",11,"Film",""
"9043","Best Film Editing","The Rains Came "," Barbara McLean","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",11,"Film",""
"9044","Best Live Action Short Film, One-Reel","Gone With the Wind "," Sidney Howard (posthumous award), based on the novel by Margaret Mitchell","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",NA,NA,NA
"9045","Best Live Action Short Film, One-Reel","Information Please "," RKO Radio","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",NA,NA,NA
"9046","Best Live Action Short Film, One-Reel","Prophet Without Honor "," MGM","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",NA,NA,NA
"9047","Best Live Action Short Film, One-Reel","Sword Fishing "," Warner Bros.","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",NA,NA,NA
"9048","Best Live Action Short Film, Two-Reel","Busy Little Bears "," Paramount Pictures","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",NA,NA,NA
"9049","Best Live Action Short Film, Two-Reel","Drunk Driving "," MGM","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",NA,NA,NA
"9050","Best Live Action Short Film, Two-Reel","Five Times Five "," RKO Radio","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",NA,NA,NA
"9051","Best Original Score","Stagecoach "," Richard Hageman, Frank Harling, John Leipold and Leo Shuken","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",15,"Film",""
"9052","Best Original Score","Nurse Edith Cavell "," Anthony Collins","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",15,"Film",""
"9053","Best Original Score","Of Mice and Men "," Aaron Copland","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",15,"Film",""
"9054","Best Original Score","The Man in the Iron Mask "," Lud Gluskin and Lucien Moraweck","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",15,"Film",""
"9055","Best Original Score","Eternally Yours "," Werner Janssen","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",15,"Film",""
"9056","Best Original Score","The Rains Came "," Alfred Newman","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",15,"Film",""
"9057","Best Original Score","Wuthering Heights "," Alfred Newman","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",15,"Film",""
"9058","Best Original Score","Dark Victory "," Max Steiner","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",15,"Film",""
"9059","Best Original Score","Gone With the Wind "," Max Steiner","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",15,"Film",""
"9060","Best Original Score","Golden Boy "," Victor Young","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",15,"Film",""
"9061","Best Original Score","Gulliver's Travels "," Victor Young","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",15,"Film",""
"9062","Best Original Score","Man of Conquest "," Victor Young","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",15,"Film",""
"9063","Best Score","The Ugly Duckling "," Walt Disney Productions and RKO Radio","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",105,"Film",""
"9064","Best Score","The Great Victor Herbert "," Phil Boutelje and Arthur Lange","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",105,"Film",""
"9065","Best Score","Of Mice and Men "," Aaron Copland","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",105,"Film",""
"9066","Best Score","Babes in Arms "," Roger Edens and George E. Stoll","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",105,"Film",""
"9067","Best Score","She Married a Cop "," Cy Feuer","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",105,"Film",""
"9068","Best Score","Intermezzo "," Lou Forbes","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",105,"Film",""
"9069","Best Score","The Private Lives of Elizabeth and Essex "," Erich Wolfgang Korngold","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",105,"Film",""
"9070","Best Score","The Hunchback of Notre Dame "," Alfred Newman","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",105,"Film",""
"9071","Best Score","They Shall Have Music "," Alfred Newman","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",105,"Film",""
"9072","Best Score","First Love "," Charles Previn","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",105,"Film",""
"9073","Best Score","Swanee River "," Louis Silvers","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",105,"Film",""
"9074","Best Score","Mr. Smith Goes to Washington "," Dimitri Tiomkin","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",105,"Film",""
"9075","Best Score","Way Down South "," Victor Young","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",105,"Film",""
"9076","Best Screenplay","Mr. Smith Goes to Washington "," Lewis R. Foster","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",95,"Film",""
"9077","Best Screenplay","Ninotchka "," Charles Brackett, Walter Reisch, and Billy Wilder, based on a story by Melchior Lengyel","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",95,"Film",""
"9078","Best Screenplay","Mr. Smith Goes to Washington "," Sidney Buchman, based on a story by Lewis R. Foster","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",95,"Film",""
"9079","Best Screenplay","Wuthering Heights "," Ben Hecht and Charles MacArthur, based on the novel by Emily Brontë","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",95,"Film",""
"9080","Best Screenplay","Goodbye, Mr. Chips "," Eric Maschwitz, R. C. Sherriff and Claudine West, based on the novel by James Hilton","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",95,"Film",""
"9081","Best Song","The Wizard of Oz "," Herbert Stothart","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",54,"Song",""
"9082","Best Song","""Faithful Forever"" from Gulliver's Travels "," Music by Ralph Rainger; Lyrics by Leo Robin","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",54,"Song",""
"9083","Best Song","""I Poured My Heart Into a Song"" from Second Fiddle "," Music and Lyrics by Irving Berlin","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",54,"Song",""
"9084","Best Song","""Wishing"" from Love Affair "," Music and Lyrics by Buddy de Sylva","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",54,"Song",""
"9085","Best Sound Recording","""Over the Rainbow"" from The Wizard of Oz "," Music by Harold Arlen; Lyrics by E. Y. Harburg","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",80,"Film",""
"9086","Best Sound Recording","Mr. Smith Goes to Washington "," John P. Livadary","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",80,"Film",""
"9087","Best Sound Recording","Goodbye, Mr. Chips "," A. W. Watkins","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",80,"Film",""
"9088","Best Sound Recording","Of Mice and Men "," Elmer A. Raguse","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",80,"Film",""
"9089","Best Sound Recording","Balalaika "," Douglas Shearer","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",80,"Film",""
"9090","Best Sound Recording","The Great Victor Herbert "," Loren L. Ryder","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",80,"Film",""
"9091","Best Sound Recording","Man of Conquest "," Charles L. Lootens","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",80,"Film",""
"9092","Best Sound Recording","The Hunchback of Notre Dame "," John Aalberg","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",80,"Film",""
"9093","Best Sound Recording","Gone With the Wind "," Thomas T. Moulton","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",80,"Film",""
"9094","Best Sound Recording","The Rains Came "," Edmund H. Hansen","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",80,"Film",""
"9095","Best Sound Recording","The Private Lives of Elizabeth and Essex "," Nathan Levinson","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",80,"Film",""
"9096","Best Special Effects","Gone With the Wind "," Hal C. Kern and James E. Newcom","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",79,"Film",""
"9097","Best Special Effects","Gone With the Wind "," John R. Cosgrove, Fred Albin and Arthur Johns","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",79,"Film",""
"9098","Best Special Effects","Only Angels Have Wings "," Roy Davidson and Edwin C. Hahn","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",79,"Film",""
"9099","Best Special Effects","Union Pacific "," Farciot Edouart, Gordon Jennings and Loren Ryder","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",79,"Film",""
"9100","Best Special Effects","The Wizard of Oz "," A. Arnold Gillespie and Douglas Shearer","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",79,"Film",""
"9101","Best Special Effects","The Private Lives of Elizabeth and Essex "," Byron Haskin and Nathan Levinson","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",79,"Film",""
"9102","Best Special Effects","Topper Takes a Trip "," Roy Seawright","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",79,"Film",""
"9103","Best Story","Hattie McDaniel "," Gone With the Wind as Mammy","winner",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",91,"Film",""
"9104","Best Story","Love Affair "," Mildred Cram and Leo McCarey","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",91,"Film",""
"9105","Best Story","Bachelor Mother "," Felix Jackson","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",91,"Film",""
"9106","Best Story","Ninotchka "," Melchior Lengyel","nominated",1940,"https://en.wikipedia.org/wiki/12th_Academy_Awards",91,"Film",""
